省份,出省人数,入省人数,迁出/迁入,出省男女比例,返乡时长（h）,返乡无座率（%）,入省平均中转次数,出省平均年龄
北京,7781607 ,473507 ,16.43 ,1.0000 ,13.4 ,1.55 ,2.7 ,28.1 
天津,4429063 ,554372 ,7.99 ,0.9972 ,11.4 ,2.50 ,2.7 ,30.5 
河北,7194010 ,5922547 ,1.21 ,1.0509 ,10.0 ,6.81 ,2.6 ,37.3 
山西,4707026 ,1822108 ,2.58 ,1.0406 ,10.4 ,7.69 ,2.4 ,41.9 
内蒙古,4005782 ,1868723 ,2.14 ,0.9871 ,16.2 ,5.20 ,2.1 ,40.0 
辽宁,11010592 ,2029113 ,5.43 ,0.9721 ,13.6 ,6.32 ,3.7 ,36.2 
吉林,5098372 ,2824951 ,1.80 ,0.9506 ,17.9 ,7.26 ,4.5 ,33.2 
黑龙江,7061258 ,5079855 ,1.39 ,0.9908 ,17.2 ,7.13 ,5.0 ,37.9 
上海,8820421 ,483167 ,18.26 ,0.9936 ,14.2 ,1.57 ,1.8 ,32.7 
江苏,15083233 ,5178792 ,2.91 ,1.1932 ,10.5 ,4.72 ,1.4 ,25.8 
浙江,10193147 ,3553427 ,2.87 ,1.0768 ,9.0 ,2.46 ,1.8 ,33.2 
安徽,6091293 ,14743904 ,0.41 ,1.1373 ,9.8 ,6.11 ,1.6 ,35.2 
福建,6274192 ,3176966 ,1.97 ,1.1019 ,8.0 ,6.30 ,2.3 ,28.3 
江西,3752145 ,9894146 ,0.38 ,1.1581 ,9.2 ,8.86 ,2.1 ,33.7 
山东,14182492 ,4876488 ,2.91 ,1.1370 ,12.0 ,5.55 ,2.7 ,32.6 
河南,9165746 ,12580054 ,0.73 ,1.2663 ,12.5 ,8.47 ,1.7 ,35.6 
湖北,8964080 ,10991025 ,0.82 ,1.0804 ,9.1 ,8.21 ,2.8 ,37.0 
湖南,6369221 ,13933852 ,0.46 ,1.0723 ,9.0 ,9.46 ,2.5 ,34.5 
广东,26194191 ,1388203 ,18.87 ,1.0784 ,7.9 ,6.21 ,2.4 ,27.2 
广西,4176388 ,8456756 ,0.49 ,1.0371 ,8.8 ,10.66 ,3.6 ,38.6 
海南,1162144 ,660602 ,1.76 ,0.8862 ,33.6 ,0.58 ,5.5 ,40.7 
重庆,4340805 ,5458550 ,0.80 ,1.1208 ,19.8 ,9.46 ,4.1 ,30.2 
四川,7957830 ,14041455 ,0.57 ,1.1178 ,23.4 ,8.83 ,2.1 ,32.7 
贵州,2768781 ,4971622 ,0.56 ,1.0590 ,17.2 ,8.90 ,3.4 ,40.6 
云南,3162415 ,1712762 ,1.85 ,0.9949 ,27.3 ,7.01 ,4.4 ,34.1 
西藏,136161 ,104305 ,1.31 ,0.8296 ,39.4 ,0.51 ,6.4 ,45.7 
陕西,4418587 ,3149842 ,1.40 ,1.1179 ,16.0 ,7.41 ,2.3 ,35.4 
甘肃,2629467 ,2175090 ,1.21 ,1.1958 ,21.2 ,7.61 ,3.1 ,37.1 
青海,684016 ,325562 ,2.10 ,1.0304 ,21.7 ,5.38 ,2.9 ,37.6 
宁夏,1029647 ,304406 ,3.38 ,1.0502 ,19.1 ,5.66 ,2.8 ,33.3 
新疆,3035901 ,671723 ,4.52 ,0.8703 ,26.2 ,3.46 ,4.9 ,36.6 
